tf,target,truth
E2F1,ACTL6B,1
EMX1,ACTL6B,0
FOS,ACTL6B,0
JUN,ACTL6B,0
KAT7,ACTL6B,0
KLF10,ACTL6B,0
KLF11,ACTL6B,0
KLF3,ACTL6B,0
MEF2C,ACTL6B,0
MEIS2,ACTL6B,0
NEUROD2,ACTL6B,0
NEUROD6,ACTL6B,0
NFIA,ACTL6B,1
NFIB,ACTL6B,0
NR2E1,ACTL6B,0
NR4A2,ACTL6B,0
PHF21A,ACTL6B,0
POU2F1,ACTL6B,0
POU3F1,ACTL6B,0
POU3F2,ACTL6B,0
RFX2,ACTL6B,0
SATB2,ACTL6B,0
SOX2,ACTL6B,0
SOX5,ACTL6B,0
SOX6,ACTL6B,0
SOX9,ACTL6B,0
TBR1,ACTL6B,0
TCF12,ACTL6B,0
TCF3,ACTL6B,0
TCF7L1,ACTL6B,0
TFAP2C,ACTL6B,0
VEZF1,ACTL6B,0
ZBTB18,ACTL6B,1
ZBTB20,ACTL6B,0
ZNF148,ACTL6B,1
ZNF219,ACTL6B,0
ZNF281,ACTL6B,0
ZNF441,ACTL6B,0
ARX,ACTN3,0
ASCL1,ACTN3,0
ATF7,ACTN3,0
BHLHE22,ACTN3,0
CTCF,ACTN3,0
DEAF1,ACTN3,0
E2F1,ACTN3,0
EMX1,ACTN3,0
FOS,ACTN3,0
JUN,ACTN3,0
KAT7,ACTN3,0
KLF10,ACTN3,0
KLF11,ACTN3,0
KLF3,ACTN3,0
MEF2C,ACTN3,0
MEIS2,ACTN3,0
NEUROD2,ACTN3,0
NEUROD6,ACTN3,0
NFIA,ACTN3,0
NFIB,ACTN3,0
NR2E1,ACTN3,0
NR4A2,ACTN3,0
PHF21A,ACTN3,0
POU2F1,ACTN3,0
POU3F1,ACTN3,0
POU3F2,ACTN3,0
RFX2,ACTN3,0
SATB2,ACTN3,0
SOX2,ACTN3,0
SOX5,ACTN3,0
SOX6,ACTN3,0
SOX9,ACTN3,0
TBR1,ACTN3,0
TCF12,ACTN3,0
TCF3,ACTN3,0
TCF7L1,ACTN3,0
TFAP2C,ACTN3,0
VEZF1,ACTN3,0
ZBTB18,ACTN3,0
ZBTB20,ACTN3,0
ZNF148,ACTN3,0
ZNF219,ACTN3,0
ZNF281,ACTN3,0
ZNF441,ACTN3,0
ARX,ACVR2A,1
ASCL1,ACVR2A,0
ATF7,ACVR2A,0
BHLHE22,ACVR2A,0
CTCF,ACVR2A,0
DEAF1,ACVR2A,0
E2F1,ACVR2A,0
EMX1,ACVR2A,0
FOS,ACVR2A,0
JUN,ACVR2A,0
KAT7,ACVR2A,0
KLF10,ACVR2A,0
KLF11,ACVR2A,0
KLF3,ACVR2A,0
MEF2C,ACVR2A,0
MEIS2,ACVR2A,0
NEUROD2,ACVR2A,0
NEUROD6,ACVR2A,0
NFIA,ACVR2A,0
NFIB,ACVR2A,0
NR2E1,ACVR2A,1
NR4A2,ACVR2A,0
PHF21A,ACVR2A,0
POU2F1,ACVR2A,0
POU3F1,ACVR2A,0
POU3F2,ACVR2A,0
RFX2,ACVR2A,0
SATB2,ACVR2A,0
SOX2,ACVR2A,0
SOX5,ACVR2A,0
SOX6,ACVR2A,0
SOX9,ACVR2A,1
TBR1,ACVR2A,0
TCF12,ACVR2A,0
TCF3,ACVR2A,0
TCF7L1,ACVR2A,0
TFAP2C,ACVR2A,0
VEZF1,ACVR2A,0
ZBTB18,ACVR2A,0
ZBTB20,ACVR2A,0
ZNF148,ACVR2A,0
ZNF219,ACVR2A,0
ZNF281,ACVR2A,0
ZNF441,ACVR2A,0
ARX,ACVR2B,0
ASCL1,ACVR2B,0
ATF7,ACVR2B,0
BHLHE22,ACVR2B,0
CTCF,ACVR2B,0
DEAF1,ACVR2B,0
E2F1,ACVR2B,0
EMX1,ACVR2B,0
FOS,ACVR2B,0
JUN,ACVR2B,0
KAT7,ACVR2B,0
KLF10,ACVR2B,0
KLF11,ACVR2B,0
KLF3,ACVR2B,0
MEF2C,ACVR2B,0
MEIS2,ACVR2B,0
NEUROD2,ACVR2B,0
NEUROD6,ACVR2B,0
NFIA,ACVR2B,0
NFIB,ACVR2B,0
NR2E1,ACVR2B,0
NR4A2,ACVR2B,0
PHF21A,ACVR2B,0
POU2F1,ACVR2B,0
POU3F1,ACVR2B,0
POU3F2,ACVR2B,0
RFX2,ACVR2B,0
SATB2,ACVR2B,0
SOX2,ACVR2B,0
SOX5,ACVR2B,0
SOX6,ACVR2B,0
SOX9,ACVR2B,1
TBR1,ACVR2B,0
TCF12,ACVR2B,0
TCF3,ACVR2B,0
TCF7L1,ACVR2B,0
TFAP2C,ACVR2B,0
VEZF1,ACVR2B,0
ZBTB18,ACVR2B,0
ZBTB20,ACVR2B,0
ZNF148,ACVR2B,0
ZNF219,ACVR2B,1
ZNF281,ACVR2B,0
ZNF441,ACVR2B,0
ARX,ADAMTS18,0
ASCL1,ADAMTS18,0
ATF7,ADAMTS18,0
BHLHE22,ADAMTS18,0
CTCF,ADAMTS18,0
DEAF1,ADAMTS18,0
E2F1,ADAMTS18,0
EMX1,ADAMTS18,0
FOS,ADAMTS18,0
JUN,ADAMTS18,0
KAT7,ADAMTS18,0
KLF10,ADAMTS18,0
KLF11,ADAMTS18,0
KLF3,ADAMTS18,0
MEF2C,ADAMTS18,0
MEIS2,ADAMTS18,0
NEUROD2,ADAMTS18,0
NEUROD6,ADAMTS18,0
NFIA,ADAMTS18,0
NFIB,ADAMTS18,0
NR2E1,ADAMTS18,0
NR4A2,ADAMTS18,0
PHF21A,ADAMTS18,0
POU2F1,ADAMTS18,0
POU3F1,ADAMTS18,0
POU3F2,ADAMTS18,0
RFX2,ADAMTS18,0
SATB2,ADAMTS18,0
SOX2,ADAMTS18,0
SOX5,ADAMTS18,0
SOX6,ADAMTS18,0
SOX9,ADAMTS18,0
TBR1,ADAMTS18,0
TCF12,ADAMTS18,0
TCF3,ADAMTS18,0
TCF7L1,ADAMTS18,0
TFAP2C,ADAMTS18,0
VEZF1,ADAMTS18,0
ZBTB18,ADAMTS18,0
ZBTB20,ADAMTS18,0
ZNF148,ADAMTS18,0
ZNF219,ADAMTS18,0
ZNF281,ADAMTS18,0
ZNF441,ADAMTS18,0
ARX,ADAMTS19,0
ASCL1,ADAMTS19,1
ATF7,ADAMTS19,0
BHLHE22,ADAMTS19,1
CTCF,ADAMTS19,0
DEAF1,ADAMTS19,0
E2F1,ADAMTS19,0
EMX1,ADAMTS19,1
FOS,ADAMTS19,0
JUN,ADAMTS19,1
KAT7,ADAMTS19,0
KLF10,ADAMTS19,0
KLF11,ADAMTS19,0
KLF3,ADAMTS19,0
MEF2C,ADAMTS19,1
MEIS2,ADAMTS19,0
NEUROD2,ADAMTS19,0
NEUROD6,ADAMTS19,0
NFIA,ADAMTS19,1
NFIB,ADAMTS19,0
NR2E1,ADAMTS19,1
NR4A2,ADAMTS19,0
PHF21A,ADAMTS19,1
POU2F1,ADAMTS19,1
POU3F1,ADAMTS19,0
POU3F2,ADAMTS19,0
RFX2,ADAMTS19,0
SATB2,ADAMTS19,0
SOX2,ADAMTS19,0
SOX5,ADAMTS19,1
SOX6,ADAMTS19,0
SOX9,ADAMTS19,0
TBR1,ADAMTS19,0
TCF12,ADAMTS19,0
TCF3,ADAMTS19,0
TCF7L1,ADAMTS19,0
TFAP2C,ADAMTS19,1
VEZF1,ADAMTS19,1
ZBTB18,ADAMTS19,1
ZBTB20,ADAMTS19,0
ZNF148,ADAMTS19,0
ZNF219,ADAMTS19,0
ZNF281,ADAMTS19,0
ZNF441,ADAMTS19,1
ARX,ADAMTS5,0
ASCL1,ADAMTS5,0
ATF7,ADAMTS5,0
BHLHE22,ADAMTS5,0
CTCF,ADAMTS5,0
DEAF1,ADAMTS5,0
E2F1,ADAMTS5,0
EMX1,ADAMTS5,0
FOS,ADAMTS5,0
JUN,ADAMTS5,0
KAT7,ADAMTS5,0
KLF10,ADAMTS5,0
KLF11,ADAMTS5,0
KLF3,ADAMTS5,0
MEF2C,ADAMTS5,0
MEIS2,ADAMTS5,0
NEUROD2,ADAMTS5,0
NEUROD6,ADAMTS5,0
NFIA,ADAMTS5,0
NFIB,ADAMTS5,0
NR2E1,ADAMTS5,0
NR4A2,ADAMTS5,0
PHF21A,ADAMTS5,0
POU2F1,ADAMTS5,0
POU3F1,ADAMTS5,0
POU3F2,ADAMTS5,0
RFX2,ADAMTS5,1
SATB2,ADAMTS5,0
SOX2,ADAMTS5,0
SOX5,ADAMTS5,0
SOX6,ADAMTS5,0
SOX9,ADAMTS5,0
TBR1,ADAMTS5,0
TCF12,ADAMTS5,0
TCF3,ADAMTS5,0
TCF7L1,ADAMTS5,0
TFAP2C,ADAMTS5,0
VEZF1,ADAMTS5,0
ZBTB18,ADAMTS5,0
ZBTB20,ADAMTS5,0
ZNF148,ADAMTS5,0
ZNF219,ADAMTS5,0
ZNF281,ADAMTS5,0
ZNF441,ADAMTS5,0
ARX,ADAMTS6,1
ASCL1,ADAMTS6,0
ATF7,ADAMTS6,1
BHLHE22,ADAMTS6,1
CTCF,ADAMTS6,1
