tf,target
ATF7,AHNAK
BHLHE22,AHNAK
DEAF1,AHNAK
E2F1,AHNAK
EMX1,AHNAK
FOS,AHNAK
JUN,AHNAK
KLF10,AHNAK
KLF11,AHNAK
KLF3,AHNAK
MEF2C,AHNAK
MEIS2,AHNAK
NEUROD6,AHNAK
NFIA,AHNAK
NFIB,AHNAK
NR2E1,AHNAK
NR4A2,AHNAK
PHF21A,AHNAK
POU2F1,AHNAK
POU3F2,AHNAK
RFX2,AHNAK
SATB2,AHNAK
SOX2,AHNAK
SOX5,AHNAK
SOX6,AHNAK
TBR1,AHNAK
TCF7L1,AHNAK
TFAP2C,AHNAK
VEZF1,AHNAK
ZBTB18,AHNAK
ZBTB20,AHNAK
ZNF219,AHNAK
ZNF281,AHNAK
ZNF441,AHNAK
ARX,AHR
KLF10,AHR
KLF3,AHR
NEUROD2,AHR
NR2E1,AHR
NR4A2,AHR
POU3F2,AHR
SOX5,AHR
ARX,AHRR
ATF7,AHRR
BHLHE22,AHRR
CTCF,AHRR
E2F1,AHRR
EMX1,AHRR
FOS,AHRR
JUN,AHRR
KAT7,AHRR
KLF10,AHRR
KLF11,AHRR
KLF3,AHRR
MEF2C,AHRR
NEUROD2,AHRR
NFIA,AHRR
NFIB,AHRR
NR2E1,AHRR
NR4A2,AHRR
POU2F1,AHRR
POU3F2,AHRR
RFX2,AHRR
SOX2,AHRR
SOX5,AHRR
SOX6,AHRR
TBR1,AHRR
TCF3,AHRR
TCF7L1,AHRR
TFAP2C,AHRR
VEZF1,AHRR
ZBTB18,AHRR
ZBTB20,AHRR
ZNF219,AHRR
ARX,AK4
ATF7,AK4
BHLHE22,AK4
CTCF,AK4
DEAF1,AK4
FOS,AK4
JUN,AK4
KLF10,AK4
KLF11,AK4
KLF3,AK4
MEF2C,AK4
MEIS2,AK4
NEUROD6,AK4
NFIA,AK4
NFIB,AK4
NR2E1,AK4
NR4A2,AK4
POU2F1,AK4
POU3F2,AK4
RFX2,AK4
SOX2,AK4
SOX5,AK4
TFAP2C,AK4
VEZF1,AK4
ZBTB18,AK4
ZNF148,AK4
ZNF219,AK4
ZNF281,AK4
ZNF441,AK4
BHLHE22,AKAP1
FOS,AKAP1
JUN,AKAP1
KLF3,AKAP1
NEUROD6,AKAP1
TCF12,AKAP1
ZBTB20,AKAP1
ZNF281,AKAP1
ARX,AKAP12
ATF7,AKAP12
BHLHE22,AKAP12
CTCF,AKAP12
DEAF1,AKAP12
E2F1,AKAP12
EMX1,AKAP12
FOS,AKAP12
JUN,AKAP12
KAT7,AKAP12
KLF10,AKAP12
KLF11,AKAP12
KLF3,AKAP12
MEF2C,AKAP12
MEIS2,AKAP12
NEUROD2,AKAP12
NEUROD6,AKAP12
NFIA,AKAP12
NFIB,AKAP12
NR2E1,AKAP12
NR4A2,AKAP12
POU2F1,AKAP12
POU3F2,AKAP12
RFX2,AKAP12
SATB2,AKAP12
SOX2,AKAP12
SOX5,AKAP12
SOX6,AKAP12
SOX9,AKAP12
TBR1,AKAP12
TCF3,AKAP12
TCF7L1,AKAP12
TFAP2C,AKAP12
VEZF1,AKAP12
ZBTB18,AKAP12
ZBTB20,AKAP12
ZNF148,AKAP12
ZNF219,AKAP12
ZNF281,AKAP12
ZNF441,AKAP12
VEZF1,AKAP6
ARX,AKIRIN1
ASCL1,AKIRIN1
ATF7,AKIRIN1
BHLHE22,AKIRIN1
CTCF,AKIRIN1
DEAF1,AKIRIN1
EMX1,AKIRIN1
FOS,AKIRIN1
JUN,AKIRIN1
KAT7,AKIRIN1
KLF10,AKIRIN1
KLF11,AKIRIN1
KLF3,AKIRIN1
MEF2C,AKIRIN1
MEIS2,AKIRIN1
NEUROD6,AKIRIN1
NFIA,AKIRIN1
NFIB,AKIRIN1
NR2E1,AKIRIN1
NR4A2,AKIRIN1
POU2F1,AKIRIN1
RFX2,AKIRIN1
SATB2,AKIRIN1
SOX2,AKIRIN1
