gene,ko_gene,log2fc,padj
CALM3,GLI3,0.19382949619138934,0.1079538444553716
NME4,GLI3,-0.5177239822719514,0.10881115589556949
RPL26,GLI3,-0.1481346871794491,0.10893536031034157
CCNI,GLI3,0.17864219983037932,0.11079611379007659
DACH1,GLI3,-0.7832694018232398,0.11163000099849296
PAK3,GLI3,0.2557669091973023,0.11453134893842076
ZNF138,GLI3,0.3372445303224973,0.11520805955473623
SRSF2,GLI3,-0.4268221151991359,0.11584692208625727
GRM5,GLI3,0.669621615744205,0.11625313194242448
CELF5,GLI3,0.3360230272525123,0.11921164776618465
BICDL1,GLI3,0.620779272472765,0.12528341956791422
TRIM44,GLI3,0.26420267750915694,0.1272911499791327
RPL15,GLI3,-0.1101389825983583,0.13160455764916207
OGA,GLI3,0.2405560089128309,0.13354123920778438
PRKACB,GLI3,0.38297803083957765,0.13529693739566717
SARAF,GLI3,0.16547131624661837,0.13539154904136907
IRF2BP2,GLI3,0.3306920300933491,0.1354650894839704
JPH4,GLI3,0.38579431797222996,0.13669574923111139
SRGAP1,GLI3,0.2780599740645553,0.14659223189975812
RPS25,GLI3,-0.16105943576080461,0.1467336484261386
PDE1A,GLI3,-0.7491530103187145,0.14749004042005817
CASK,GLI3,0.2578885307945614,0.15050743518722953
WNK3,GLI3,0.2778011912816127,0.15330952482949733
NCAM1,GLI3,0.24319469193010979,0.15875638103563539
SEPT3,GLI3,0.3017914907811782,0.1652186815499448
NRSN1,GLI3,0.5339801345989821,0.1687007431244565
LMO1,GLI3,0.7403856935623996,0.16925204652649484
CHD9,GLI3,0.22579921304765982,0.1838849730726757
RPL31,GLI3,-0.19984143742863436,0.19018550696291445
ATP1A1,GLI3,0.3591556301219942,0.1969511852323107
CRMP1,GLI3,0.16715206475523914,0.20012398922656782
SFPQ,GLI3,-0.3315973829852248,0.20821223864346622
CAMK2N2,GLI3,0.35034053145328714,0.21875886929336907
PDZD4,GLI3,0.41733348928810965,0.21899153004061578
KIAA1211,GLI3,0.6802940826852673,0.21985285248363784
RNF180,GLI3,0.41006106153234767,0.23565958820618427
SCG2,GLI3,0.24441859440940783,0.23787294838939044
SAP18,GLI3,-0.21983054763671483,0.25094254515695963
ZFP36L1,GLI3,-0.6842805483160549,0.25671995026260036
NOVA2,GLI3,0.30778577926382533,0.2579365723670266
NEXMIF,GLI3,0.32903437015581916,0.26283363541358096
ZNF429,GLI3,0.7347731749722124,0.26321703052043866
KIAA1549,GLI3,0.39730211004954485,0.26593772863488585
JAKMIP2,GLI3,0.2896402573802062,0.27046447151937336
RTN4,GLI3,0.12249336180150516,0.2717443919975864
N4BP2,GLI3,0.35254258025529256,0.27772157791190555
SLC12A5,GLI3,0.45705278439897234,0.2963067808519435
KIF3A,GLI3,0.26191666234143185,0.29944206456226485
EIF3E,GLI3,-0.25151424308616144,0.3121774443813373
H3F3B,GLI3,0.12312693543808617,0.31594874489006664
RNF146,GLI3,0.3710979681375378,0.33073915417802535
ELAVL2,GLI3,0.2566281778511211,0.3426382602012632
KMT2E,GLI3,0.19926453422816626,0.3481681261343388
CCSER1,GLI3,0.5267106082706913,0.34822261494798123
ARRDC4,GLI3,0.5102234687881639,0.3681245131407662
PDS5B,GLI3,0.3738738688025003,0.3880187910522306
SCG5,GLI3,0.3319655573847452,0.4161733148765121
ZNF804A,GLI3,0.6628750003059183,0.41692492673175874
HSPA13,GLI3,0.319461854329688,0.4189953561468469
DGKE,GLI3,0.47083418725078263,0.42469538676741436
CHN2,GLI3,0.8836321119799995,0.4369047354704465
CREBRF,GLI3,0.282799141074363,0.4421824099871401
PNMA2,GLI3,0.3204521971842496,0.44589727684153413
PCDHGB7,GLI3,0.8392870351579451,0.4466151483670693
CDH2,GLI3,0.23078394354822818,0.4475510936513265
HIST1H2BD,GLI3,0.5986141973574033,0.4787977569082784
PDCD5,GLI3,-0.29687600451766816,0.4849907675230321
PDE5A,GLI3,0.8444405206109544,0.4904267051668558
SYP,GLI3,0.20379410205722204,0.5000687006788676
PRICKLE2,GLI3,0.7687512374875158,0.5024736999589914
MACF1,GLI3,0.2559100085791105,0.5104526504780855
SCRT2,GLI3,0.4818176776584473,0.5189779286858602
GNAL,GLI3,0.5264615674075623,0.5218347373752641
TNRC6C,GLI3,0.33061166759294985,0.5247968292784728
XPO1,GLI3,0.2862066707763093,0.5285122766551078
SMARCD3,GLI3,0.46426043972699577,0.5403260383335473
TNRC6B,GLI3,0.2542014785946156,0.5416027993581665
TRIM9,GLI3,0.46401371956877013,0.5450715699744917
RPL36AL,GLI3,-0.22967709523489566,0.5542297767420213
ADGRL3,GLI3,0.48771906809070065,0.556443132858349
RAN,GLI3,-0.2448567684152103,0.5626823423110535
ZNF608,GLI3,0.41005635511417327,0.5910578254131158
ZNF883,GLI3,0.38788709490246087,0.595027360923031
DZIP3,GLI3,0.43039198521028543,0.5975287602888653
PCAT7,GLI3,0.7573961551931061,0.6154147338515461
SSBP1,GLI3,-0.2551842943251432,0.6222361425204407
ATAT1,GLI3,0.28068795671253166,0.6254396061223257
ARRDC3,GLI3,0.3160406486697668,0.6271619994997684
FRYL,GLI3,0.48598159368507643,0.6284005018060741
KLHDC2,GLI3,0.3258892712497707,0.6374209208036454
DCLK2,GLI3,0.3284653533633728,0.658493551778184
TSC22D3,GLI3,0.3114941160292877,0.6634133835833085
BRAF,GLI3,0.4288374356859077,0.6782068583581333
DSTYK,GLI3,0.3419069456577871,0.7018682245174919
